year,sample,serial,cbserial,hhwt,hhtype,cluster,region,stateicp,statefip,countyicp,density,metro,strata,cntry,gq,rent,rentgrs,valueh,ssmc,pernum,perwt,momloc,poploc,sploc,sprule,momloc2,nchild,nchlt5,sex,age,marst,birthyr,race,raced,hispan,hispand,school,educ,educd,schltype,empstat,empstatd,labforce,classwkr,classwkrd,occ1950,occ1990,occ2010,wkswork1,wkswork2,uhrswork,workedyr,inctot,ftotinc,incwage,racesing,racesingd,qmarst,qrace,sprule_sp,sex_sp,age_sp,marst_sp,birthyr_sp,race_sp,raced_sp,hispan_sp,hispand_sp,school_sp,educ_sp,educd_sp,schltype_sp,empstat_sp,empstatd_sp,labforce_sp,classwkr_sp,classwkrd_sp,occ1950_sp,occ1990_sp,occ2010_sp,wkswork1_sp,wkswork2_sp,workedyr_sp,inctot_sp,ftotinc_sp,incwage_sp,racesing_sp,racesingd_sp,qmarst_sp,qrace_sp,samesex_marriage,edu,edu_sp
2019,2019 acs,13421,2019000763261,375,married-couple family household,2019000134211,east south central div,alabama,alabama,0,168.9,in metropolitan area: central/principal city status indeterminable (mixed),210001,united states,households under 1970 definition,550,856,n/a,all other same-sex married couple households,1,375,0,0,2,"direct link, clarity level 1",0,1 child present,no children under age 5,female,28,"married, spouse present",1991,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,not in labor force,not in labor force,"no, not in the labor force",n/a,n/a,n/a (blank),unknown,"unemployed, with no work experience in the last 5 years or earlier or never worked",0,n/a,n/a,no,0,26000,0,,,entered as written,entered as written,"direct link, clarity level 1",female,23,"married, spouse present",1996,white,white,not hispanic,not hispanic,"no, not in school",grade 12,"12th grade, no diploma",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",clerical and kindred workers (n.e.c.),receptionists,receptionists and information clerks,52,50-52 weeks,yes,15000,26000,15000,,,entered as written,entered as written,1,2,1
2019,2019 acs,14022,2019000806178,55,married-couple family household,2019000140221,east south central div,alabama,alabama,0,2090.1,in metropolitan area: central/principal city status indeterminable (mixed),200001,united states,households under 1970 definition,n/a,n/a,240000,all other same-sex married couple households,1,55,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,32,"married, spouse present",1987,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",self-employed,"self-employed, incorporated",designers,designers,designers,52,50-52 weeks,45,yes,50010,200010,50000,,,entered as written,entered as written,"direct link, clarity level 1",male,40,"married, spouse present",1979,white,white,not hispanic,not hispanic,"no, not in school",5+ years of college,master's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,"managers, officials, and proprietors (nec)","managers and administrators, n.e.c","managers, nec (including postmasters)",52,50-52 weeks,yes,150000,200010,150000,,,entered as written,entered as written,1,4,5
2019,2019 acs,14688,2019000852544,75,married-couple family household,2019000146881,east south central div,alabama,alabama,0,2090.1,in metropolitan area: central/principal city status indeterminable (mixed),200001,united states,households under 1970 definition,n/a,n/a,2101000,all other same-sex married couple households,1,75,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,35,"married, spouse present",1984,white,white,not hispanic,not hispanic,"no, not in school",2 years of college,"associate's degree, type not specified",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",insurance agents and brokers,insurance sales occupations,insurance sales agents,52,50-52 weeks,32,yes,22100,187100,24000,,,entered as written,entered as written,"direct link, clarity level 1",male,33,"married, spouse present",1986,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)",chief executives and public administrators,chief executives and legislators/public administration,52,50-52 weeks,yes,165000,187100,150000,,,entered as written,entered as written,1,3,4
2019,2019 acs,15024,2019000876453,35,married-couple family household,2019000150241,east south central div,alabama,alabama,0,88.5,not in metropolitan area,100001,united states,households under 1970 definition,n/a,n/a,550000,all other same-sex married couple households,1,35,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,30,"married, spouse present",1989,white,white,not hispanic,not hispanic,"no, not in school",grade 12,"some college, but less than 1 year",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",boilermakers,boilermakers,boilermakers,4,1-13 weeks,60,yes,86000,120000,86000,,,entered as written,entered as written,"direct link, clarity level 1",male,34,"married, spouse present",1985,black/african american,black/african american,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",office machine operators,data entry keyers,data entry keyers,52,50-52 weeks,yes,34000,120000,34000,,,entered as written,entered as written,1,3,4
2019,2019 acs,16881,2019001007092,167,married-couple family household,2019000168811,east south central div,alabama,alabama,730,556.7,in metropolitan area: central/principal city status indeterminable (mixed),130501,united states,households under 1970 definition,n/a,n/a,"$150,000 - 199,999",all other same-sex married couple households,1,166,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,30,"married, spouse present",1989,white,white,not hispanic,not hispanic,"no, not in school",5+ years of college,master's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,local govt employee,teachers (n.e.c.),secondary school teachers,secondary school teachers,52,50-52 weeks,50,yes,60000,95000,55000,,,entered as written,entered as written,"direct link, clarity level 1",female,26,"married, spouse present",1993,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,"managers, officials, and proprietors (nec)","actors, directors, producers","actors, producers, and directors",52,50-52 weeks,yes,35000,95000,35000,,,entered as written,entered as written,1,5,4
2019,2019 acs,19810,2019001214467,254,married-couple family household,2019000198101,east south central div,alabama,alabama,730,556.7,in metropolitan area: central/principal city status indeterminable (mixed),130501,united states,households under 1970 definition,400,560,n/a,all other same-sex married couple households,1,254,0,0,2,"direct link, clarity level 1",0,1 child present,1 child under age 5,female,34,"married, spouse present",1985,two major races,white and aian,not hispanic,not hispanic,"yes, in school",4 years of college,bachelor's degree,public school,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,"attendants, professional and personal service (nec)",child care workers,childcare workers,52,50-52 weeks,38,yes,13700,35800,13700,,,entered as written,entered as written,"direct link, clarity level 1",female,32,"married, spouse present",1987,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)",managers of food-serving and lodging establishments,food service and lodging managers,44,40-47 weeks,yes,22100,35800,22100,,,entered as written,entered as written,1,4,3
2019,2019 acs,20430,2019001256716,48,married-couple family household,2019000204301,east south central div,alabama,alabama,0,304,in metropolitan area: central/principal city status indeterminable (mixed),60001,united states,households under 1970 definition,n/a,n/a,120000,all other same-sex married couple households,1,48,0,0,2,"direct link, clarity level 1",0,2,1 child under age 5,female,26,"married, spouse present",1993,white,white,not hispanic,not hispanic,"no, not in school",2 years of college,"associate's degree, type not specified",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","nurses, professional",registered nurses,registered nurses,52,50-52 weeks,36,yes,60000,105000,60000,,,entered as written,entered as written,"direct link, clarity level 1",female,33,"married, spouse present",1986,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","attendants, recreation and amusement","supervisors of personal service jobs, n.e.c",first-line supervisors of personal service workers,52,50-52 weeks,yes,45000,105000,40000,,,entered as written,entered as written,1,3,2
2019,2019 acs,21088,2019001301283,176,married-couple family household,2019000210881,east south central div,alabama,alabama,730,1773.9,in metropolitan area: central/principal city status indeterminable (mixed),130301,united states,households under 1970 definition,n/a,n/a,77000,all other same-sex married couple households,1,175,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,31,"married, spouse present",1988,white,white,not hispanic,not hispanic,"no, not in school",grade 12,"some college, but less than 1 year",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)","managers and administrators, n.e.c",general and operations managers,52,50-52 weeks,40,yes,45000,92000,45000,,,entered as written,entered as written,"direct link, clarity level 1",female,26,"married, spouse present",1993,white,white,not hispanic,not hispanic,"yes, in school",4 years of college,bachelor's degree,public school,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,"nurses, professional",registered nurses,registered nurses,52,50-52 weeks,yes,47000,92000,47000,,,entered as written,entered as written,1,3,4
2019,2019 acs,23793,2019000370566,330,married-couple family household,2019000237931,pacific division,alaska,alaska,0,73.7,metropolitan status indeterminable (mixed),30002,united states,households under 1970 definition,n/a,n/a,"$300,000 - 399,999",all other same-sex married couple households,1,330,0,0,2,"direct link, clarity level 1",0,1 child present,no children under age 5,female,34,"married, spouse present",1985,white,white,mexican,mexican,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,armed forces--at work,"yes, in the labor force",works for wages,federal govt employee,members of the armed services,military,"office and administrative support workers, nec",52,50-52 weeks,40,yes,49200,49200,49200,,,entered as written,entered as written,"direct link, clarity level 1",female,35,"married, spouse present",1984,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,not in labor force,not in labor force,"no, not in the labor force",n/a,n/a,n/a (blank),unknown,"unemployed, with no work experience in the last 5 years or earlier or never worked",0,n/a,no,0,49200,0,,,entered as written,entered as written,1,3,2
2019,2019 acs,24537,2019000828212,144,married-couple family household,2019000245371,pacific division,alaska,alaska,0,69.3,metropolitan status indeterminable (mixed),20002,united states,households under 1970 definition,n/a,n/a,525000,all other same-sex married couple households,1,144,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,27,"married, spouse present",1992,two major races,white and aian,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",electrical-engineers,electrical engineer,electrical and electronics engineers,52,50-52 weeks,40,yes,110000,175000,110000,,,entered as written,entered as written,"direct link, clarity level 1",female,30,"married, spouse present",1989,two major races,white and japanese,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,"managers, officials, and proprietors (nec)","managers of service organizations, n.e.c",social and community service managers,52,50-52 weeks,yes,65000,175000,65000,,,entered as written,entered as written,1,4,4
2019,2019 acs,24947,2019001108116,66,"female householder, not living alone",2019000249471,pacific division,alaska,alaska,0,69.3,metropolitan status indeterminable (mixed),20002,united states,additional households under 2000 definition,550,650,n/a,households without a same-sex married couple,6,120,0,0,7,"direct link, clarity level 1",0,0 children present,no children under age 5,male,33,"married, spouse present",1986,white,white,not hispanic,not hispanic,"no, not in school",grade 12,regular high school diploma,not enrolled,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,janitors and sextons,supervisors of cleaning and building service,first-line supervisors of housekeeping and janitorial workers,52,50-52 weeks,7,yes,10000,68000,10000,,,allocated,entered as written,"direct link, clarity level 1",male,32,"married, spouse present",1987,american indian or alaska native,"other alaska native tribe(s) (2000,acs)",not hispanic,not hispanic,"no, not in school",grade 12,ged or alternative credential,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",musicians and music teachers,"teachers , n.e.c",other teachers and instructors,52,50-52 weeks,yes,58000,68000,50000,,,allocated,entered as written,1,2,
2019,2019 acs,25122,2019001204862,303,married-couple family household,2019000251221,pacific division,alaska,alaska,200,2474.5,in metropolitan area: in central/principal city,10202,united states,households under 1970 definition,1300,1520,n/a,households without a same-sex married couple,1,303,0,0,2,"fourth level link, clarity level 1",0,1 child present,no children under age 5,female,39,"married, spouse present",1980,white,white,not hispanic,not hispanic,"yes, in school",1 year of college,"1 or more years of college credit, no degree",public school,unemployed,unemployed,"yes, in the labor force",n/a,n/a,n/a (blank),unemployed,"unemployed, with no work experience in the last 5 years or earlier or never worked",0,n/a,n/a,no,1600,80400,0,,,allocated,entered as written,"fourth level link, clarity level 1",female,33,"married, spouse present",1986,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,federal govt employee,testing-technicians,"engineering technicians, n.e.c","life, physical, and social science technicians, nec",52,50-52 weeks,yes,75000,80400,75000,,,allocated,entered as written,1,3,3
2019,2019 acs,25302,2019001327190,130,married-couple family household,2019000253021,pacific division,alaska,alaska,200,2474.5,in metropolitan area: in central/principal city,10202,united states,households under 1970 definition,1600,1600,n/a,all other same-sex married couple households,1,131,0,0,2,"direct link, clarity level 1",0,1 child present,1 child under age 5,female,23,"married, spouse present",1996,white,white,not hispanic,not hispanic,"no, not in school",grade 12,"some college, but less than 1 year",not enrolled,not in labor force,not in labor force,"no, not in the labor force",works for wages,federal govt employee,clerical and kindred workers (n.e.c.),stock and inventory clerks,stock clerks and order fillers,52,50-52 weeks,40,yes,15300,27800,15300,,,entered as written,entered as written,"direct link, clarity level 1",female,25,"married, spouse present",1994,white,white,not hispanic,not hispanic,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,not in labor force,not in labor force,"no, not in the labor force",works for wages,"wage/salary, private",clerical and kindred workers (n.e.c.),"customer service reps, investigators and adjusters, except insurance",customer service representatives,52,50-52 weeks,yes,12500,27800,12500,,,entered as written,entered as written,1,3,3
2019,2019 acs,28778,2019000006418,55,married-couple family household,2019000287781,mountain division,arizona,arizona,130,4402.7,in metropolitan area: in central/principal city,11904,united states,households under 1970 definition,1200,1583,n/a,all other same-sex married couple households,1,54,0,0,2,"direct link, clarity level 1",0,1 child present,1 child under age 5,female,31,"married, spouse present",1988,black/african american,black/african american,mexican,mexican,"no, not in school",grade 12,"some college, but less than 1 year",not enrolled,employed,at work,"yes, in the labor force",self-employed,"self-employed, not incorporated","managers, officials, and proprietors (nec)",office supervisors,first-line supervisors of office and administrative support workers,52,50-52 weeks,40,yes,10000,13000,0,,,entered as written,entered as written,"direct link, clarity level 1",female,29,"married, spouse present",1990,"other race, nec","other race, n.e.c",mexican,mexican,"no, not in school",grade 12,"some college, but less than 1 year",not enrolled,not in labor force,not in labor force,"no, not in the labor force",works for wages,"wage/salary, private",laborers (nec),crossing guards and bridge tenders,crossing guards,36,27-39 weeks,yes,3000,13000,3000,,,entered as written,entered as written,1,3,3
2019,2019 acs,29465,2019000044285,78,married-couple family household,2019000294651,mountain division,arizona,arizona,130,5506.7,in metropolitan area: in central/principal city,10904,united states,households under 1970 definition,1300,1460,n/a,all other same-sex married couple households,1,78,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,29,"married, spouse present",1990,white,white,other,spaniard,"no, not in school",1 year of college,"1 or more years of college credit, no degree",not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",messengers and office boys,messengers,couriers and messengers,52,50-52 weeks,40,yes,43000,88000,43000,,,entered as written,entered as written,"direct link, clarity level 1",female,26,"married, spouse present",1993,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",biological scientists,medical scientists,"medical scientists, and life scientists, all other",52,50-52 weeks,yes,45000,88000,45000,,,entered as written,entered as written,1,3,4
2019,2019 acs,29950,2019000070265,122,married-couple family household,2019000299501,mountain division,arizona,arizona,270,1358.2,in metropolitan area: central/principal city status indeterminable (mixed),70004,united states,households under 1970 definition,n/a,n/a,9000,all other same-sex married couple households,1,122,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,male,32,"married, spouse present",1987,three or more major races,"white, black, aian",mexican,mexican,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,"managers, officials, and proprietors (nec)","managers and administrators, n.e.c",general and operations managers,52,50-52 weeks,40,yes,26000,77000,26000,,,entered as written,entered as written,"direct link, clarity level 1",male,30,"married, spouse present",1989,two major races,white and aian,mexican,mexican,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,wage/salary at non-profit,teachers (n.e.c.),primary school teachers,elementary and middle school teachers,52,50-52 weeks,yes,35000,77000,35000,,,entered as written,entered as written,1,4,4
2019,2019 acs,30231,2019000085589,59,married-couple family household,2019000302311,mountain division,arizona,arizona,130,4065.5,in metropolitan area: central/principal city status indeterminable (mixed),10204,united states,households under 1970 definition,990,990,n/a,all other same-sex married couple households,1,59,0,0,2,"direct link, clarity level 1",0,0 children present,no children under age 5,female,26,"married, spouse present",1993,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private","managers, officials, and proprietors (nec)",other financial specialists,credit counselors and loan officers,52,50-52 weeks,40,yes,40800,85800,40000,,,entered as written,entered as written,"direct link, clarity level 1",female,27,"married, spouse present",1992,white,white,not hispanic,not hispanic,"no, not in school",4 years of college,bachelor's degree,not enrolled,employed,at work,"yes, in the labor force",works for wages,"wage/salary, private",industrial-engineers,management analysts,management analysts,52,50-52 weeks,yes,45000,85800,45000,,,entered as written,entered as written,1,4,4
